STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20071020,-9999,0,0,161,-11
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20071021,-9999,0,0,172,-22
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20071022,0,-9999,0,-9999,-72
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20071023,0,0,0,50,-39
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20071024,0,0,0,-9999,-9999
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20071025,-9999,0,0,150,-28
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20071026,-9999,0,0,172,-28
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20071027,-9999,0,0,189,-28
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20071028,-9999,0,0,178,-22
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20071029,-9999,0,0,178,-28
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20071030,0,0,0,189,0
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20071031,-9999,0,0,172,39
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20071101,-9999,0,0,122,-28
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20071102,-9999,0,0,150,-28
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20071103,0,0,0,139,-72
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20071104,0,0,0,-9999,-9999
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20071105,-9999,0,0,172,-50
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20071106,-9999,0,0,172,-61
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20071107,-9999,0,0,178,-61
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20071108,-9999,0,0,172,-61
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20071109,0,0,0,172,-61
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20071110,0,0,0,122,-28
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20071111,0,0,0,178,-28
